name,effect,version,requires pok
Age of Commerce,"Players do not have to be neighbors to perform transactions with each other. Players do not have a maximum number of commodities; when they refresh commodities, they gain a number of commodities equal to their commodity value instead. Players can share non-faction technology with other players as part of a transaction. When sharing tech in this way, the receiving player gains that technology from their own deck; the sharing player does not lose the technology.",thunders edge,FALSE
Call of the Void,"After you move 1 or more units into the active system, if that system is in The Fracture, gain 1 command token. When you activate a system in The Fracture, apply +1 to the move values of each of your ships.",thunders edge,FALSE
Dangerous Wilds,"During setup, place neutral infantry on each hazardous planet equal to that planet's resource value. At the end of each round, for each hazardous planet that is not controlled, replenish any neutral units that were destroyed during the game round. When a player gains control of a hazardous planet from the deck, they may research 1 technology; they may ignore a number of pre-requisites equal to that planet's resource value.",thunders edge,FALSE
Hidden Agenda,"During the agenda phase, only the speaker can talk; all other players must remain silent except when declaring action cards/abilities. Transactions cannot be performed during this phase. When voting, players secretly and simultaneously write their desired outcome and number of votes and pass them to the speaker. After all players have voted, the speaker secretly tallys the results and reveals only the totals to the other players. The Argent Flight's votes are public and are known before the other players vote.",thunders edge,FALSE
Age of Exploration,"Relics require only 2 matching fragments be purged instead of 3. The Naaz-Rokha Alliance's Fabrication faction ability and Black Market Forgery promissory note do not require purged fragments to match. All players can perform the following ACTION: Exhaust Dark Energy Tap and choose a non-home edge system that contains your ships to roll 1 die. On a result of 1-4, draw a random unused red tile; on a result of 5-10, draw a random unused blue tile. Place that tile adjacent to the chosen system so that it is touching at least 2 non-home systems. Place a frontier token in the system if it does not contain any planets.",thunders edge,FALSE
Civilized Society,"During setup, turn all public objectives face up. There is no limit on the number of public objectives a player may score during the status phase. The game does not immediately end when a player reaches the required number of victory points; instead, it ends at the end of that round's status phase, and the player with the most victory points wins. In the case of a tie, the tied players total the influence values of their controlled planets and their unspent trade goods; the player or players with the highest total win the game.",thunders edge,FALSE
Minor Factions,"During setup, players are dealt 1 fewer blue tile. Before creating the galaxy, shuffle the reference cards for factions not being played and deal 1 to each player. In speaker order, each player places that faction's home system in the second ring, equidistant from players' home systems. Then, that player places 3 neutral infantry on that system's planets, split as evenly as possible. These systems are minor faction systems and do not count as home systems. When a player controls each planet in a minor faction system, they take that faction's alliance card from the deck or from the player that owned it previously. Planets in minor faction systems gain all three planet traits (cultural, industrial, hazardous).",thunders edge,FALSE
Stellar Atomics,"During setup, each player places one of their control markers on this card. All players can perform the following ACTION: Discard your control marker from this card to destroy all ground forces and structures on any non-home planet. If you do not have a control marker on this card, you cannot vote or play action cards during the agenda phase.",thunders edge,FALSE
Age of Fighters,"During setup, all players gain the Fighter II unit upgrade technology; the Naalu Collective player gains Hybrid Crystal Fighter II technology instead. All fighters that are counting against fleet pool gain CAPACITY 1 that cannot be used to support fighters. Non-fighter ships are purged when they are destroyed",thunders edge,FALSE
Total War,"When a player destroys another player's units, they place commodities from the supply equal to the combined cost of those units on a planet they control in their home system (infantry and fighters are worth 1 each). When a player gains control of a planet that has commodities on it, they may move those commodities to a planet they control in their home system. All players can perform the following ACTION: Discard 10 commodities from planets in your home system to gain 1 victory point.",thunders edge,FALSE
Wild Wild Galaxy,"Action cards are adjusted as follows: Direct hit: Can be used against mechs. Flank Speed: Applies +2 move instead of +1. Maneuvering Jets: Cancels all SPACE CANNON hits. Morale Boost: Applies +2 to die rolls instead of +1. Sabotage: Also take the canceled action card. Shields Holding: Can be used in ground combat. Skilled Retreat: Does not place a command token. War Machine: Reduces cost by 5 instead of 1. Diplomatic Pressure: Player must give 3 notes. Additionally, Stellar Converter and Nova Seed can be used against any planets and systems.",thunders edge,FALSE
Weird Wormholes,"After a ship moves using at least 1 alpha, beta, or gamma wormhole, roll 1 die and consult the following list: [ Fighter -> Destroyer -> Cruiser -> Dreadnought -> Carrier -> Flagship -> War Sun (if researched) ] For each result of 1-5, replace that ship with the ship BEFORE it from your reinforcements, if able. For each result of 6-10, replace that ship with the ship AFTER it from your reinforcements, if able. If there are no ships of that type remaining in your reinforcements, skip that type and replace it with the next available type.",thunders edge,FALSE
Monuments to the Ages,"When you would place a structure on a non-home planet, you may spend 5 trade goods to place a neutral space dock instead; this is a monument, and is not considered to be a unit of any type. There can only be 3 monuments in play at once. At the start of the status phase, place 1 commodity beneath each monument. A monument is worth 1 victory point to the player who controls it for every 3 commodities placed beneath it. When a player gains control of a planet that contains a monument, they may destroy it.",thunders edge,FALSE
Cosmic Phenomenae,"Anomalies have the following additional rules: Nebulae: Defending ships in nebulae apply an additional +3 to their combat rolls instead of +1. Asteroid Fields: Fighter I's do not participate in space combat in asteroid fields. Supernovas: Units with PRODUCTION in or adjacent to supernovas have their PRODUCTION values increased by 1. Gravity Rifts: You may apply an additional +1 to the MOVE value of any of your ships moving out of gravity rifts; if you do, those ships are destroyed on a roll of 5 or lower. Entropic Scars: Systems that contain entropic scars are adjacent to each other.",thunders edge,FALSE
Cultural Exchange Program,"At the end of setup, shuffle the reference cards that correspond to each faction in play. Each player draws 1 of those cards and takes all leaders that correspond to that faction. They belong to that player for the remainder of the game. Then, each player unlocks their commander. The Obsidian/Firmament player does not participate in the Cultural Exchange Program. Instead, they begin the game with ""The Obsidian"" relic.",thunders edge,TRUE
Mercenaries for Hire,"At the start of the game, shuffle the alliance cards that correspond to the factions not in play and place them in the common play area; this is the Mercenary deck. All players can perform the following action: ACTION: Spend 3 trade goods to gain the top card of the mercenary deck and place it in your play area. Players can use the abilities of the mercenaries in their play area.",thunders edge,FALSE
Rapid Mobilization,"After setup, put The Fracture into play. Then, each player simultaneously resolves the following effects in order: Place 1 infantry onto each planet adjacent to your home system (or the creuss gate/sorrow); do not explore those planets. Then, ready each of those planets. Place 1 space dock on any planet you control and place your flagship and 3 fighters in its system. Gain your breakthrough. Research 1 technology; if you are the Nomad player, research 1 additional technology.",thunders edge,FALSE
Zealous Orthodoxy,"The first player to score 2 secret objectives gains 1 victory point. Then, place that faction's alliance card on this card; all players gain that ability. That faction's alliance promissory note is then purged.",thunders edge,FALSE
Advent of the War Sun,"At the end of setup, all players other than the Embers of Muaat player gain the War Sun unit upgrade technology. The Embers of Muaat player purges their faction specific promissory note, unlocks their commander, and places 1 additional War Sun in their home system.",thunders edge,FALSE
