name,condition,points,type,when to score,version,exclude after
Corner the Market,Control 4 planets that each have the same planet trait .,1,stage 1 public,status phase,base game,
Develop Weaponry,Own 2 unit upgrade technologies.,1,stage 1 public,status phase,base game,
Diversify Research,Own 2 technologies in each of 2 colors.,1,stage 1 public,status phase,base game,
Erect a Monument,Spend 8 resources .,1,stage 1 public,status phase,base game,
Expand Borders,Control 6 planets in non-home systems.,1,stage 1 public,status phase,base game,
Found Research Outposts,Control 3 planets that have technology specialties .,1,stage 1 public,status phase,base game,
Intimidate Council,Have 1 or more ships in 2 systems that are adjacent to Mecatol Rex's System.,1,stage 1 public,status phase,base game,
Lead from the Front,Spend a total of 3 tokens from your tactic and/or strategy pools .,1,stage 1 public,status phase,base game,
Negotiate Trade Routes,Spend 5 trade goods .,1,stage 1 public,status phase,base game,
Sway the Council,Spend 8 influence .,1,stage 1 public,status phase,base game,
Amass wealth,"Spend 3 influence , 3 resources , and 3 trade goods .",1,stage 1 public,status phase,pok,
Build Defenses,Have 4 or more structures .,1,stage 1 public,status phase,pok,
Discover Lost Outposts,Control 2 planets that have attachments .,1,stage 1 public,status phase,pok,
Engineer a Marvel,Have your flagship or a war sun on the game board.,1,stage 1 public,status phase,pok,
Explore Deep Space,Have units in 3 systems that do not contain planets.,1,stage 1 public,status phase,pok,
Improve Infrastructure,Have structures on 3 planets outside of your home system .,1,stage 1 public,status phase,pok,
Make History,"Have units in 2 systems that contain legendary planets , Mecatol Rex , or anomalies .",1,stage 1 public,status phase,pok,
Populate the Outer Rim,Have units in 3 systems on the edge of the game board other than your home system .,1,stage 1 public,status phase,pok,
Push Boundaries,Control more planets than each of 2 of your neighbors .,1,stage 1 public,status phase,pok,
Raise a Fleet,Have 5 or more non-fighter ships in 1 system.,1,stage 1 public,status phase,pok,
Centralize Galactic Trade,Spend 10 trade goods .,2,stage 2 public,status phase,base game,
Conquer the Weak,Control 1 planet that is in another player's home system .,2,stage 2 public,status phase,base game,
Form Galactic Brain Trust,Control 5 planets that have technology specialties .,2,stage 2 public,status phase,base game,
Found a Golden Age,Spend 16 resources .,2,stage 2 public,status phase,base game,
Galvanize the People,Spend a total of 6 tokens from your tactic and/or strategy pools .,2,stage 2 public,status phase,base game,
Manipulate Galactic Law,Spend 16 influence .,2,stage 2 public,status phase,base game,
Master the Sciences,Own 2 technologies in each of 4 colors.,2,stage 2 public,status phase,base game,
Revolutionize Warfare,Own 3 unit upgrade technologies.,2,stage 2 public,status phase,base game,
Subdue the Galaxy,Control 11 planets in non-home systems.,2,stage 2 public,status phase,base game,
Unify the Colonies,Control 6 planets that each have the same planet trait .,2,stage 2 public,status phase,base game,
Achieve Supremacy,Have your flagship or a war sun in another player's home system or the Mecatol Rex system.,2,stage 2 public,status phase,pok,
Become a Legend,"Have units in 4 systems that contain legendary planets , Mecatol Rex , or anomalies .",2,stage 2 public,status phase,pok,
Command an Armada,Have 8 or more non-fighter ships in 1 system.,2,stage 2 public,status phase,pok,
Construct Massive Cities,Have 7 or more structures .,2,stage 2 public,status phase,pok,
Control the Borderlands,Have units in 5 systems on the edge of the game board other than your home system .,2,stage 2 public,status phase,pok,
Hold Vast Reserves,"Spend 6 influence , 6 resources , and 6 trade goods .",2,stage 2 public,status phase,pok,
